sd_w_in,sd_w_ex,N 1,N 2,time1,time2
0.01,0.01,0,2007.6,1444000,"2,00E+08"
0.01,0.04,0,2025.8,664000,"2,00E+08"
0.01,0.07,0,2060.8,840000,"2,00E+08"
0.01,0.1,0,1955.8,728000,"2,00E+08"
0.01,0.13,40.2,1973,40412000,"2,00E+08"
0.01,0.16,0,1967.6,"6,00E+05","2,00E+08"
0.01,0.19,0,2057.8,"5,00E+05","2,00E+08"
0.01,0.22,46.2,1979,40428000,"2,00E+08"
0.04,0.01,23.8,1943,41120000,"2,00E+08"
0.04,0.04,13.8,1899.6,40764000,"2,00E+08"
0.04,0.07,20.2,1950.6,40612000,"2,00E+08"
0.04,0.1,0,1973.2,624000,"2,00E+08"
0.04,0.13,4.6,1956.2,40564000,"2,00E+08"
0.04,0.16,21,1936.6,40508000,"2,00E+08"
0.04,0.19,0,1951.6,732000,"2,00E+08"
0.04,0.22,0,1983,572000,"2,00E+08"
0.07,0.01,237.8,1742.6,"2,00E+08","2,00E+08"
0.07,0.04,3.2,1947.8,41160000,"2,00E+08"
0.07,0.07,20.8,1904.8,40856000,"2,00E+08"
0.07,0.1,16.2,1901.4,40708000,"2,00E+08"
0.07,0.13,0,1974.4,1136000,"2,00E+08"
0.07,0.16,22.2,1997,80440000,"2,00E+08"
0.07,0.19,0,1932.6,1032000,"2,00E+08"
0.07,0.22,0,1914.8,696000,"2,00E+08"
0.1,0.01,522.2,1505.6,"2,00E+08","2,00E+08"
0.1,0.04,316.4,1688.6,"2,00E+08","2,00E+08"
0.1,0.07,121.4,1852.4,"2,00E+08","2,00E+08"
0.1,0.1,180,1770.2,80704000,"2,00E+08"
0.1,0.13,2.6,1964.2,40964000,"2,00E+08"
0.1,0.16,47.8,1840.8,40824000,"2,00E+08"
0.1,0.19,0,1943,956000,"2,00E+08"
0.1,0.22,4.4,1956,40584000,"2,00E+08"
0.13,0.01,790.4,1372.2,"2,00E+08","2,00E+08"
0.13,0.04,550.8,1461.2,"2,00E+08","2,00E+08"
0.13,0.07,264.2,1737,160360000,"2,00E+08"
0.13,0.1,101.2,1875.4,120580000,"2,00E+08"
0.13,0.13,133.6,1836.2,120592000,"2,00E+08"
0.13,0.16,143.2,1808.4,80720000,"2,00E+08"
0.13,0.19,135.4,1770.2,120284000,"2,00E+08"
0.13,0.22,0,1979.4,1056000,"2,00E+08"
0.16,0.01,1012,1262,"2,00E+08","2,00E+08"
0.16,0.04,889.8,1331,"2,00E+08","2,00E+08"
0.16,0.07,624.6,1499,"2,00E+08","2,00E+08"
0.16,0.1,379.4,1715,"2,00E+08","2,00E+08"
0.16,0.13,303,1636.2,"2,00E+08","2,00E+08"
0.16,0.16,156,1821.8,160228000,"2,00E+08"
0.16,0.19,39,1919.8,80900000,"2,00E+08"
0.16,0.22,0.6,1954.8,41024000,"2,00E+08"
0.19,0.01,1132.2,1299.2,"2,00E+08","2,00E+08"
0.19,0.04,1011.6,1380.6,"2,00E+08","2,00E+08"
0.19,0.07,945.2,1281.2,"2,00E+08","2,00E+08"
0.19,0.1,690.8,1390,"2,00E+08","2,00E+08"
0.19,0.13,579.4,1429.6,"2,00E+08","2,00E+08"
0.19,0.16,188.6,1871.6,"2,00E+08","2,00E+08"
0.19,0.19,255.2,1764,160292000,"2,00E+08"
0.19,0.22,77.2,1877.2,120408000,"2,00E+08"
0.22,0.01,1257.6,1439.4,"2,00E+08","2,00E+08"
0.22,0.04,1210.2,1387,"2,00E+08","2,00E+08"
0.22,0.07,1085.8,1366.2,"2,00E+08","2,00E+08"
0.22,0.1,847.2,1418,"2,00E+08","2,00E+08"
0.22,0.13,751.2,1326.4,"2,00E+08","2,00E+08"
0.22,0.16,564.2,1512.4,"2,00E+08","2,00E+08"
0.22,0.19,391.8,1593.4,"2,00E+08","2,00E+08"
0.22,0.22,268.2,1722.8,120676000,"2,00E+08"
